Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Por Água Abaixo,GBR,2006,84,4,0,Comédia,1,3.2
Os Sem Floresta,USA,2006,83,4,0,Comédia,1,3.2
Happy Feet,AUS,2006,108,NA,0,Comédia,1,3
A Menina e o Porquinho,USA,2006,97,2,0,Fantasia,0,2.8
Irmão Urso 2,USA,2006,73,2.5,0,Aventura,1,2.8
Uma Noite no Museu,USA,2006,108,3.5,0,Fantasia,0,3.3
Norbit,USA,2007,102,NA,0,Comédia,0,2.1
Freedom Writers,USA,2007,123,2.5,0,Drama,0,3.6
Barbie Fairytopia: Magic of the Rainbow,USA,2007,75,3,0,Fantasia,1,3.3
Mr. Bean’s Holiday,GBR,2007,90,4,0,Comédia,0,3.2
Shrek the Third,USA,2007,93,3.5,0,Fantasia,1,2.8
Ratatouille,USA,2007,111,4.5,0,Comédia,1,4.2
Harry Potter and the Order of the Phoenix,GBR,2007,138,NA,0,Fantasia,0,3.7
Hairspray,USA,2007,117,5,0,Comédia,0,3.5
The Simpsons Movie,USA,2007,87,4,0,Comédia,1,3.5
High School Musical 2,USA,2007,108,4,0,Musical,0,3.2
Halloween,USA,2007,110,3.5,0,Terror,0,2.7
Barbie as the Island Princess,USA,2007,85,2.5,0,Fantasia,1,3.5
Bee Movie,USA,2007,91,1,0,Comédia,1,2.9
Encantada,USA,2007,107,4,0,Fantasia,0,3.5
Alvin e os Esquilos,USA,2007,92,2.5,0,Comédia,0,2.6
The Mist,USA,2007,126,4,0,Thriller,0,3.4
O Fado do Dente,USA,2007,101,3.5,0,Comédia,0,2.0
Barbie Mariposa,USA,2008,75,4,0,Fantasia,1,3.4
Homem de Ferro,USA,2008,126,4,0,Ação,0,3.7
Kung Fu Panda,USA,2008,90,3,0,Ação,1,3.9
WALL·E,USA,2008,98,4.5,0,Sci-fi,1,4.2
O Cavaleiro das Trevas,USA,2008,152,5,0,Sci-fi,0,4.5
Star Wars: The Clone Wars,USA,2008,98,3,0,Sci-fi,1,2.8
Barbie and the Diamond Castle,CAN,2008,78,4,0,Fantasia,0,3.8
Tinker Bell,USA,2008,78,3.5,0,Fantasia,1,3.3
Beverly Hills Chihuahua,USA,2008,91,NA,0,Comédia,0,2.4
High School Musical 3: Senior Year,USA,2008,111,4,0,Musical,0,3.1
Madagascar: Escape 2 Africa,USA,2008,89,3,0,Aventura,1,3.1
Barbie in ‘A Christmas Carol’,CAN,2008,76,4,0,Fantasia,1,3.4
iCarly: iGo to Japan,USA,2008,99,5,0,Comédia,0,3.1
Bolt,USA,2008,98,2.5,0,Aventura,1,3.1
Twilight,USA,2008,122,2,0,Romance,0,2.9
Bedtime Stories,USA,2008,99,NA,0,Fantasia,0,2.8
